model,RMSE,MAE,R2,QLIKE
XGBoost (full features),0.05237832696348754,0.040709696248144564,0.00039406051543688925,0.17240621669596182
HAR-RV (Ridge),0.05851990018021519,0.042074997979855616,-0.24776481946283768,0.24753898791435014
HAR + XGBoost Ensemble,0.05881554310258457,0.042108932875610176,-0.2604040981028697,0.2560829396667937
Naive (RV_1d),0.07435511230654379,0.05803526255969399,-1.014407135444649,0.3323412262780162
"GJR-GARCH(1,1,1)",0.18046105744462076,0.17262858885795995,-10.86567855581083,887.0366696418614
"GARCH(1,1)",0.18113028036519763,0.17328112423748018,-10.9538472499011,1145.5435451026833
