date,y_log,log_spy_rv_5d,log_spy_rv_10d,log_spy_rv_20d,log_vix_close,vix_chg_1d,log_qqq_rv_5d,spy_ret_neg,log_spy_hl_range,log_abs_spy_ret,log_abs_spy_gap,log_vix_hl_range,log_vix_close_lag1,log_spy_hl_range_lag1
1999-04-08,-1.8396618242234393,-1.8976021745421305,-1.5433741551481532,-1.485414782889028,3.117507337677251,-0.009644862713959,-1.2593672666290412,0.0,-3.9272008393802817,-4.3682743178618795,-8.357216544407692,-2.712042078526423,3.12719901332139,-4.198375404359211
1999-04-09,-1.8390618813392223,-1.7993581666029579,-1.6120720657370962,-1.4959851332737213,3.080532896733074,-0.036299233700106,-1.303378111396706,0.0,-4.25920975466398,-8.369809454448731,-5.804899926830731,-3.041311093479357,3.117507337677251,-3.9272008393802817
1999-04-12,-2.4008217501203886,-2.2582301444105974,-1.6558931435390636,-1.5049287883117897,3.0878555768016973,0.0073495564560288,-2.058706366513808,0.0,-3.755712705830336,-4.541441991628507,-4.563420877497054,-2.009445738751054,3.080532896733074,-4.25920975466398
1999-04-13,-1.671142964913096,-2.0689462655779636,-1.7046079306547843,-1.5146123239856362,3.123685618165214,0.0364796728649263,-1.861607069489403,-0.0064190738193489,-4.2311107677685005,-5.048479878730444,-7.687516956439464,-2.8310157202640673,3.0878555768016973,-3.755712705830336
1999-04-14,-1.2653385878798424,-1.6384351247111328,-1.5851249069437143,-1.4745223923999093,3.21647296206655,0.0972283781930887,-1.299942758258796,-0.0168435625288416,-3.675127531838733,-4.083786147249466,-5.378511741544662,-2.579896323573715,3.123685618165214,-4.2311107677685005
1999-04-15,-1.2775156276697062,-1.8396618242234393,-1.7011411292406804,-1.4752258771426983,3.175132915091021,-0.0404972015739373,-1.2190579440498988,-0.0037549870922318,-3.946777333798402,-5.584667768138695,-6.160029841730456,-2.329264577135847,3.21647296206655,-3.675127531838733
1999-04-16,-1.3360809964526266,-1.8390618813392223,-1.6621238878436642,-1.4966461847217605,3.173878443394799,-0.0012536851760512,-1.1938738709399,-0.0084805653710247,-4.337646418265665,-4.769976981123371,-6.27405025082969,-3.620166125841799,3.175132915091021,-3.946777333798402
1999-04-19,-1.7049060796703936,-2.4008217501203886,-1.8150697105225486,-1.5150160329678553,3.274121302360415,0.1054393513801499,-0.9966635433418767,-0.0154430981230696,-3.0462128448460226,-4.170592451336683,-4.734061318559426,-2.0015557176681757,3.173878443394799,-4.337646418265665
1999-04-20,-1.6857310244126893,-1.671142964913096,-1.7217243233255748,-1.4951425298794678,3.2196755237343555,-0.052990144378783,-0.7106617502770616,0.0,-4.093391128038437,-4.3781722684351445,-6.02682754695386,-2.9573116532822223,3.274121302360415,-3.0462128448460226
1999-04-21,-1.9270076800233584,-1.2653385878798424,-1.472123827218407,-1.5283097883257921,3.148882430565571,-0.0683453621317052,-0.4724402451127009,0.0,-3.2520902555181896,-3.5543948770675353,-7.648718809176319,-2.6978068566844997,3.2196755237343555,-4.093391128038437
1999-04-22,-2.0330861684101245,-1.2775156276697062,-1.489065063349973,-1.5239539531737036,3.1188345082314486,-0.0296009713649767,-0.43660049528875605,0.0,-4.2284984340772995,-4.656511206991339,-6.290637389712742,-4.010432447531429,3.148882430565571,-3.2520902555181896
1999-04-23,-1.9910978892165538,-1.3360809964526266,-1.4859381956104625,-1.5634520917285013,3.1250046197538173,0.0061891858733098,-0.5578441836852222,-0.0025246729400963,-4.351658694010098,-5.981639792417863,-6.182309607681829,-3.3994433740532886,3.1188345082314486,-4.2284984340772995
1999-04-26,-1.58957672017724,-1.7049060796703936,-1.5069379013343593,-1.5775309417151333,3.1582762323459646,0.033831302724969,-1.5429630666409129,0.0,-4.621545962658641,-5.158133597549683,-5.285966732005465,-3.472984668701739,3.1250046197538173,-4.351658694010098
1999-04-27,-1.5463152371219284,-1.6857310244126893,-1.5176885732431027,-1.626519769721923,3.1510251845161714,-0.0072248224110946,-0.9850528494806203,0.0,-4.417247240958343,-5.338222575713503,-5.5495311796339335,-3.522090517206386,3.1582762323459646,-4.621545962658641
1999-04-28,-1.5444528650948235,-1.9270076800233584,-1.5499053186606433,-1.5941213291882934,3.194583117074987,0.0445205043238683,-0.867053448079222,-0.0136612021857923,-4.0971178874383405,-4.293194688967537,-5.129441755938542,-3.1650252626795212,3.1510251845161714,-4.417247240958343
1999-04-29,-1.5574040653379309,-2.0330861684101245,-1.5328515360277826,-1.6334997287212432,3.2212729285558064,0.0270491744971534,-1.0155217180215914,-0.0076177285318559,-4.089471000397071,-4.8772757339279975,-6.582017918918891,-3.014258927198206,3.194583117074987,-4.0971178874383405
1999-04-30,-1.5893636327304381,-1.9910978892165538,-1.534826160253484,-1.6213576956320714,3.2216719003961383,0.0003990514403413,-1.0656542450674555,-0.0081414282391253,-3.475160720229059,-4.810788426721918,-5.18808209489994,-2.1743533531479935,3.2212729285558064,-4.089471000397071
1999-05-03,-1.8828809478024207,-1.58957672017724,-1.5694276724613423,-1.658461382308113,3.1842843647168126,-0.0366972511963721,-1.4334904069074614,0.0,-3.8987530425510615,-4.001253592489575,-6.566196389976211,-2.6774667083727723,3.2216719003961383,-3.475160720229059
1999-05-04,-2.0890656745232135,-1.5463152371219284,-1.5002608985940018,-1.6194222438164059,3.243373329615871,0.0608696167255915,-1.4313252627937294,-0.0142791340396131,-3.90736049464804,-4.248955265070809,-5.485716180322759,-2.8581099237394016,3.1842843647168126,-3.8987530425510615
1999-05-05,-2.091399414611249,-1.5444528650948235,-1.7561235751535302,-1.6196682411727645,3.226447111962677,-0.0167837740472395,-1.2545815157713136,0.0,-3.734891419884602,-4.835346505136951,-6.569941686039896,-2.508607567702946,3.243373329615871,-3.90736049464804
1999-05-06,-2.3623401705592806,-1.5574040653379309,-1.7935132376990484,-1.6394357832606232,3.312001822684857,0.0893211572964411,-0.9298955541193492,-0.0061427909133054,-3.8861217897801983,-5.092474466033741,-5.884710582167563,-2.136428478467371,3.226447111962677,-3.734891419884602
1999-05-07,-1.4546583245728106,-1.5893636327304381,-1.758198754907745,-1.6292655145763428,3.2331731540308373,-0.0758017450154358,-0.8877087004840992,0.0,-4.382025834674201,-4.882217682908618,-5.560096112086188,-3.174904510095223,3.312001822684857,-3.8861217897801983
